datetime,event,details
1953-07-26T12:20:28Z,Lunar Eclipse (Not visible),
1953-08-09T16:09:44Z,Solar Eclipse (Not visible),
1954-01-05T02:21:08Z,Solar Eclipse (Not visible),
1954-01-19T02:31:39Z,Lunar Eclipse (Partial),"Begin: 00:55, Max: 02:32, End: 04:09, Mag: 0.96"
1954-06-30T13:06:43Z,Solar Eclipse (Partial),"Begin: 11:50, Max: 13:07, End: 14:18, Mag: 0.822"
1954-07-16T00:20:09Z,Lunar Eclipse (Partial),"Begin: 23:19, Max: 00:20, End: 01:21, Mag: 0.31"
1954-12-25T07:32:57Z,Solar Eclipse (Not visible),
1955-06-20T04:11:33Z,Solar Eclipse (Not visible),
1955-12-14T05:41:26Z,Solar Eclipse (Partial),"Begin: 04:44, Max: 05:41, End: 06:45, Mag: 0.377"
1956-05-24T15:31:09Z,Lunar Eclipse (Not visible),
1956-06-08T21:28:57Z,Solar Eclipse (Not visible),
1956-11-18T06:47:34Z,Lunar Eclipse (Not visible),
1956-12-02T06:57:08Z,Solar Eclipse (Partial),"Begin: 05:52, Max: 06:57, End: 08:09, Mag: 0.466"
1957-04-30T00:01:26Z,Solar Eclipse (Partial),"Begin: 23:15, Max: 00:01, End: 00:49, Mag: 0.806"
1957-05-13T22:30:46Z,Lunar Eclipse (Total),"Begin: 20:53, Max: 22:31, End: 00:09, Mag: 1.18"
1957-10-23T04:43:10Z,Solar Eclipse (Not visible),
1957-11-07T14:26:48Z,Lunar Eclipse (Not visible),
1958-04-19T03:23:17Z,Solar Eclipse (Not visible),
1958-10-12T20:51:45Z,Solar Eclipse (Not visible),
1959-03-24T20:11:15Z,Lunar Eclipse (Partial),"Begin: 19:48, Max: 20:11, End: 20:34, Mag: 0.05"
1959-04-08T03:28:50Z,Solar Eclipse (Not visible),
1959-10-02T12:31:00Z,Solar Eclipse (Partial),"Begin: 11:40, Max: 12:31, End: 13:20, Mag: 0.237"
1960-02-26T18:23:19Z,Solar Eclipse (Not visible),
1960-03-13T08:27:39Z,Lunar Eclipse (Not visible),
1960-03-27T07:37:09Z,Solar Eclipse (Not visible),
1960-08-22T09:15:06Z,Solar Eclipse (Not visible),
1960-09-05T11:21:09Z,Lunar Eclipse (Not visible),
1960-09-20T22:31:02Z,Solar Eclipse (Partial),"Begin: 22:09, Max: 22:31, End: 22:53, Mag: 0.113"
1961-02-15T07:50:24Z,Solar Eclipse (Partial),"Begin: 06:42, Max: 07:50, End: 09:04, Mag: 0.957"
1961-03-02T13:27:58Z,Lunar Eclipse (Not visible),
1961-08-11T10:35:36Z,Solar Eclipse (Not visible),
1961-08-26T03:08:09Z,Lunar Eclipse (Partial),"Begin: 01:52, Max: 03:08, End: 04:25, Mag: 0.79"
1962-02-05T00:01:40Z,Solar Eclipse (Partial),"Begin: 23:28, Max: 00:02, End: 00:36, Mag: 0.375"
1962-07-31T12:23:32Z,Solar Eclipse (Not visible),
1963-01-25T13:41:46Z,Solar Eclipse (Not visible),
