datetime,event,details
2092-07-05T05:57:53Z,Earth Aphelion,152098358.90 km
2093-01-05T10:17:15Z,Earth Perihelion,147104143.09 km
2093-07-04T13:21:38Z,Earth Aphelion,152089124.68 km
2094-01-04T00:17:40Z,Earth Perihelion,147102738.22 km
2094-07-07T10:08:10Z,Earth Aphelion,152094377.00 km
2095-01-04T03:57:06Z,Earth Perihelion,147110239.72 km
2095-07-05T13:10:03Z,Earth Aphelion,152095773.36 km
2096-01-05T21:57:09Z,Earth Perihelion,147100759.67 km
2096-07-05T13:39:46Z,Earth Aphelion,152085809.09 km
2097-01-03T00:52:45Z,Earth Perihelion,147102522.00 km
2097-07-06T16:04:32Z,Earth Aphelion,152089095.80 km
2098-01-05T02:34:38Z,Earth Perihelion,147112547.23 km
2098-07-04T16:43:46Z,Earth Aphelion,152087658.45 km
2099-01-05T06:19:02Z,Earth Perihelion,147100804.00 km
2099-07-07T08:08:52Z,Earth Aphelion,152090422.70 km
2100-01-03T13:54:59Z,Earth Perihelion,147105539.30 km
2100-07-06T15:59:24Z,Earth Aphelion,152096564.15 km
